,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
10978,307607P4,Premium Kayak; Kayak Paddles; Splash Bag Rentals (water resistant); Life Jackets,"Embark on our captivating Bat Paddle Guided Tour adventure to experience the infamous Mexican Free-Tailed Bats emergence from beneath the Congress Avenue Bridge in Austin, Texas!

Paddle along the picturesque waters of the Colorado River, exploring Austin's urban landscape. Our expert guides will lead you, sharing fascinating stories and insights along the way. As the sun sets, we'll navigate beneath the Congress Avenue Bridge, home to one of North America's largest urban bat colonies. Experience the breathtaking moment as millions of bats take flight, swirling above you in a mesmerizing dance against the twilight sky. Immerse yourself in the magic of this encounter, with the gentle sound of water and the scent of fresh air. Learn about these fascinating creatures, their role in the ecosystem, and conservation efforts. No kayaking experience required. We provide equipment and ensure your safety throughout the excursion.",id
11038,309298P1,Gratuities,"We offer a unique way to experience New York City, with small groups walking tours focused on often unexplored neighborhoods of this big city. You'll see through the eyes of licensed and experienced tour guides and longtime New Yorkers. 
The Tour ""Uptown in The Heights"" will let you explore a off-the-beaten-path area, a vibrant neighborhood rich of history. We will visit the Little Dominican area, that inspired Lin Manuel Miranda's ""In The Heights"" Broadway musical and movie. Let's take a walk around the old Frankfurt-on-Hudson neighborhood and discover what is left of the magnificent castles and luxurious estates. We will learn where the highest natural point of Manhattan is located and where the Battle of Fort Washington took place. The tour will culminate with breathtaking views of the Hudson River and the George Washington Bridge. 
Come explore Uptown Manhattan and leave with long last memories, knowledge and appreciation for this amazing part of New York City!",af
11039,309417P1,Gratuities,"If you're looking for the perfect ghost tour for the whole family, the Ghosts of Austin is perfect! We've designed this tour to be entertaining for anyone ages 5-100. Combining history with hauntings, this tour is Austin's #1 All-Ages/Family-Friendly Ghost Tour.

Your spooky adventure will begin with an introduction to Austin's haunted past - and then we'll head off to visit some of the most haunted locations in Austin.

If you have 10 or more guests in one group, please get in touch with the private & group sales coordinator with Ghost City Tours.",af
11040,309417P2,Gratuities,"The Murder by Gaslight Tour is our adults-only (16+) tour that explores the dark, dangerous, and spooky side of 19th Century Austin, TX. While enjoying a stroll through the historic district, you will hear chilling tales of violent deaths, suicide, serial killings, and ghosts who just refuse to check out of their hotels. This tour will discuss content that is not suitable for younger paranormal enthusiasts. 

If you have 10 or more guests in one group, please get in touch with the private & group sales coordinator with Ghost City Tours.",af
11049,309861P1,Entrance to Santa Cecilia de Monserrat € 12; Santa Cova Funicular 15.60,"A private tour with a native driver is always a special thing for someone who comes to visit Monserrat wanting to laugh and have fun.
",es
11071,31003P27,Local guide; Private tour,"Dig up Manhattan's spine-chilling past on this 2-hour private walking tour of Greenwich Village, known as one of the city's most haunted neighborhoods. Together with a guide, you'll head to some of the village's spookiest spots, including Washington Square Park and NYU's Brown Building, and hear tales of lost children, celebrity ghosts, and park-dwelling phantoms. ",pt
11088,31003P42,Guide,"Discover on this mid-town walk what made it that way; from two rival newspaper moguls who helped start an international war to some of the most iconic television studios you tune into daily. Your expert tour guide will seamlessly guide you through some of the most iconic areas of New York as you see where Saturday Night Live, the Daily Show with Trevor Noah, MTV Studios, Late Night with Stephen Colbert, the Tonight Show with Jimmy Fallon, and more take place.",es
11089,31003P5,Guide,"Dig up Manhattan's spine-chilling past on this 2-hour walking tour of Greenwich Village, known as one of the city's most haunted neighborhoods. Together with a guide, you'll head to some of the village's spookiest spots, including Washington Square Park and NYU's Brown Building, and hear tales of lost children, celebrity ghosts, and park-dwelling phantoms.",es
11130,31070P141,Audio guide; Access to La Pedrera; A FREE Barcelona city guide,"Admire a reconstruction of the Milà's original apartment, which shows how the inhabitants of this quirky masterpiece once lived
Climb curved stairwells to the roof terrace, marvel at the building's peculiar chimney pots, and see the city from a unique perspective",es
11165,310843P10,Tips,"You arrived in Paris for business or for pleasure, you would like to be mobile without thinking every hour where to get a taxi, your business meetings are far away from each others and you have no time to arrange your logistics. Our driver will pick you up at the indicated area and will accompany you for 4 hours in your shopping or business affairs in Paris. ",lt
11166,310843P11,Tips,"You arrived in Paris for business or for pleasure, you would like to be mobile without thinking every hour where to get a taxi, your business meetings are far away from each others and you have no time to arrange your logistics. Our driver will pick you up at the indicated area and will accompany you for 4 hours in your shopping or business affairs in Paris. ",id
11180,311217P2,ticket entrance,"Discover the magic of Disneyland Paris with complete peace of mind thanks to our VTC transfer service from Charles de Gaulle, Orly or Beauvais airports. Let yourself be transported in the comfort of a recent sedan or van type car, driven by an experienced and welcoming driver. We provide child seats on request to ensure the safety of your youngest passengers. Enjoy the beauty of the Disneyland Paris park as soon as you arrive and avoid the stress of public transport. Book your VTC transfer now for a hassle-free trip.",sv
11197,311647P1,All restaurant staff tips,"We combine the best of cultural and food tourism, the only tour to give you a feast, not shared tastings. We begin with a walk as we examine and photograph (Very InstaWorthy) some of the Austin Weird that dates back to 1948. While visiting a former Union House from that era we relax with a glass of Texas wine and a bite to eat, we will spend about 30 minutes relaxing. Our tour continues as we grab some Texas bbq and proceed into more wonderful weirdness. We don't go too far until we have another refreshment stop, a glass of locally made cider and one of Texas oldest foods, which came from the Czech Republic but has become a whole new concept in Texas. Take another half hour to refresh. Soon a relaxing point in the park where we can take pictures and enjoy the lake. Our moment of Zen continues while we head to some of the best Pecan pie we have ever tasted. Afterwards we will tell you the secret of this pie. No shared plates, or shared bites.
History never been so delicious. ",ca
